区分,付与時間,付与方法,付与元,件名,付与内容
関係機関,11:25,電話,"関西電力枚方営業所",停電の発生状況,　１１時現在の停電発生状況は、東香里１丁目周辺と宮之阪・星丘周辺、香里ケ丘１～３丁目周辺、田口１～５丁目で停電が発生している。現在、復旧作業中。
関係機関,11:25,付与カード,枚方警察署,避難誘導の必要有無,トンボ池の法面が崩れたと情報が入ったが、避難誘導等はしなくて良いか？
関係機関,11:30,電話,上下水道局,断水の発生状況,岡南町で断水を確認。現在、対応方針を検討中。
関係機関,11:30,付与カード,"大阪ガス北東導管部",ガス被害の発生状況,　ガス供給停止に関する情報なし。
関係機関,11:30,付与カード,交野警察署,避難所状況について,現在、開設している避難所において体調不良者がいるか知りたいので一覧でいただきたいです。
関係機関,11:35,付与カード,"ＮＴＴ西日本大阪東支店",電話の不通状況,　電話不通に関する情報なし。
関係機関,11:40,電話,枚方土木事務所,京都守口線の被害状況,京都守口線（天野川から船橋川までの間）の道路状況を確認したが、１１：４０時点で冠水等の異常は認められなかった。
関係機関,11:45,付与カード,"京阪バス枚方営業所",運行状況,午後２時より全面運休を決定
関係機関,11:50,電話,上下水道局,断水に関する状況確認,　岡南町で断水が発生しているエリアの避難世帯数と氏名の問い合わせ（⇒１３時３０分頃に回答必要）
関係機関,13:15,付与カード,"枚方寝屋川消防組合","住家へのがけ崩れ（第３報）\n別紙あり","穂谷でのがけ崩れに伴う行方不明者の捜索状況について。住所：穂谷２丁目～３丁目被害家屋：一般住宅４棟居所判明者：４名、行方不明者：６名、重軽傷者：４名救助・救出活動：本日１０：３０から救助活動を実施中。（内訳警察　　人、消防　　人、消防団１０人計　　人）"
関係機関,13:20,付与カード,枚方警察署,道路の冠水状況,池之宮交番（池之宮３丁目４－２５）付近の道路が冠水している模様。
関係機関,13:30,電話,枚方土木事務所,枚方茨木線（府道）の被害状況,"場所：枚方市中宮山戸町中宮小前被害状況：２０ｃｍ程度の冠水対応状況：土木事務所職員４名が現場片側通行規制中"
関係機関,13:30,付与カード,"京阪電鉄枚方市駅",運行状況,京阪本線は、１１時３０分に発生した土砂崩れが線路内に流入した件で現在、全面運休。交野線は現在、運転見合わせ中。
関係機関,13:30,付与カード,"関西電力枚方営業所",停電の発生状況,　1３時２０分現在の停電発生状況は、東香里１丁目周辺は停電解消。その他については、復旧作業中。
関係機関,13:35,電話,上下水道局,断水に関する状況確認,　岡南町の４２世帯のうち断水エリアで避難していない３１世帯に対して給水活動開始
関係機関,13:45,付与カード,"大阪ガス北東導管部",ガス被害の発生状況,　ガス供給停止に関する情報なし。
関係機関,13:50,付与カード,"ＮＴＴ西日本大阪東支店",電話の不通状況,　電話不通に関する情報なし。
関係機関,13:50,付与カード,交野警察署,住家へのがけ崩れ,"津田東町2丁目付近でがけ崩れが発生し、住宅１棟に被害が発生した模様。人的災害はなし"
関係機関,13:55,電話,枚方土木事務所,府道１３号線牧野橋の通行止め情報,"場所：枚方市西牧野4丁目　牧野橋付近理由：穂谷川の水位上昇に伴う通行止め対応状況：土木事務所職員が通行止めで対応中。"
関係機関,14:00,付与カード,枚方土木事務所,通行規制について情報提供,道路災害を未然に防止するため、土砂災害が発生する恐れがある箇所を含む道路の区間の通行規制を検討しています。
関係機関,14:00,電話,大阪国道事務所,国道１号線の通行止め,国道1号線の冠水状況は、先ほど報告した通りで変更ありません。冠水対策の完了目途は１８時を予定しています。
関係機関,14:00,付与カード,"京阪バス枚方営業所",運行状況,１４時より全面運休
関係機関,14:00,付与カード,上下水道局,断水の発生状況,"　岡南町で断水が発生している模様。断水エリアを確定し、必要に応じて給水活動する予定"
関係機関,14:00,付与カード,"枚方寝屋川消防組合","住家へのがけ崩れ（第４報）\n別紙あり","穂谷でのがけ崩れに伴う行方不明者の捜索状況について。住所：穂谷２丁目～３丁目被害家屋：一般住宅４棟居所判明者：７名、死者：２名、行方不明者：１名、重軽傷者：４名救助・救出活動：本日１０：３０から救助活動を実施中（内訳警察　　人、消防　　人、消防団１０人計　　人）"
関係機関,14:10,付与カード,枚方警察署,本部会議の議事録,第１回と第２回の本部会議の議事録があればいただきたいです。
関係機関,14:15,電話,枚方土木事務所,枚方交野寝屋川線（府道）の通行規制解除について,"本日１０：４０報告した通行規制中の枚方交野寝屋川（府道）については、道路冠水が解消したため本日１５：００通行規制を解除します。場所：枚方市樟葉中央～藤原"
関係機関,14:15,付与カード,交野警察署,道路の冠水状況,津田南小（津田西町３－１０－１）の正門前の道路が冠水しているため、交通規制を行っています。
避難所職員,10:30,付与カード,春日小学校,物資の要請,水（500ml）を100本いただきたい
避難所職員,10:30,付与カード,氷室小学校,物資の要請,アルファ化米（個食）を150食いただきたい。
避難所職員,10:30,付与カード,中宮小学校,物資の要請,高齢者用食を30食いただきたい。
避難所職員,10:45,付与カード,明倫小学校,物資の要請,アルファ化米（個食）と水（500ml）を50個ずついただきたい。
避難所職員,10:45,付与カード,田口山小学校,物資の要請,生理用品、乳幼児用のおむつを100枚ずつ送ってほしい。
避難所職員,10:50,付与カード,菅原東小学校,物資の要請,アルファ化米（炊き出し用）を50食分いただきたい。
避難所職員,11:00,付与カード,津田南小学校,物資の要請,毛布がかび臭いので、30枚ほど送ってほしい。マスクも100枚ほしい。
避難所職員,11:10,付与カード,枚方小学校,物資の要請,水（500ml）を150本いただきたい。紙コップがあれば併せてもらいたい。
避難所職員,11:15,付与カード,香里小学校,物資の要請,野菜ジュースを100本ほど欲しい。
避難所職員,11:15,付与カード,桜丘小学校,物資の要請,土嚢袋を50枚ほどいただきたい。タオルも50枚ほしい。
避難所職員,11:20,付与カード,トラック協会,道路状況,"道路状況をまとめた資料をいただきたい。（要返信：３F危機管理　西本まで）"
避難所職員,11:25,付与カード,牧野小学校,物資の要請,ブルーシートを30枚いただきたい。軍手も50双ほしい。
避難所職員,11:30,付与カード,川越小学校,物資の要請,粉ミルク10本、哺乳瓶3本、水30本、やかん2個ほしい。
避難所職員,11:30,付与カード,明倫小学校,物資の要請,アルファ化米と水、さっきのに追加で20個ずつほしい。
避難所職員,11:30,付与カード,教育委員会,物資搬送状況,"避難所への物資搬送状況を教えてください。（要返信：３F危機管理　西本まで）"
避難所職員,11:35,付与カード,津田南小学校,物資の要請,毛布が届いていない。いつ送ってもらえるか？
避難所職員,11:35,付与カード,氷室小学校,物資の要請,"アルファ化米150食がまだ届いていない。配送の車は今どこにいる？（要返信：３F危機管理　西本まで）"
